0,1,2,性別,0,生年月日,年齢,出身地,血液型,結婚
93,和田和之,ワダカズユキ,男,892466337,2001/05/14,19,佐賀県,B,1
94,宮沢藍子,ミヤザワアイコ,女,93848144,1994/05/16,26,島根県,O,1
95,大畑虎雄,オオハタトラオ,男,993146865,1996/02/01,25,岐阜県,A,1
96,真鍋沙羅,マナベサラ,女,545435780,1990/09/24,30,愛媛県,A,1
97,玉木優香,タマギユウカ,女,994833635,1978/08/13,42,徳島県,O,1
98,福岡一花,フクオカイチカ,女,776195519,1971/03/05,50,千葉県,B,1
99,赤井伊代,アカイイヨ,女,962521612,2000/03/12,21,京都府,O,1
100,浜口道子,ハマグチミチコ,女,257605659,1962/12/05,58,京都府,A,1
101,坂下悠菜,サカシタユウナ,女,858457032,1967/04/29,53,福島県,O,1
102,永田莉子,ナガタリコ,女,744155465,1997/02/13,24,静岡県,A,1
103,小宮悦太郎,コミヤエツタロウ,男,559669455,1989/02/14,32,北海道,A,1
104,城戸洋晶,キドヒロアキ,男,738449543,1966/03/26,54,香川県,O,1
105,下山美穂子,シモヤマミホコ,女,244050863,1974/11/09,46,和歌山県,O,1
106,野沢悦代,ノザワエツヨ,女,939921034,1992/10/14,28,岡山県,AB,1
107,伊東一羽,イトウカズハ,女,995512924,2008/12/04,12,千葉県,AB,1
108,舟木千帆子,フナキチホコ,女,274018714,2010/03/10,11,高知県,O,1
109,高山樹里,タカヤマジュリ,女,838268609,1987/06/07,33,埼玉県,O,1
110,入江徳子,イリエノリコ,女,856405286,1973/04/22,47,奈良県,O,1
111,若林克彦,ワカバヤシカツヒコ,男,737369495,1975/11/04,45,宮城県,B,1
112,泉美恵子,イズミミエコ,女,797761589,1980/01/01,41,奈良県,O,1
113,赤塚汎平,アカツカハンペイ,男,739489320,1981/04/15,39,岩手県,A,1
114,中岡沙也加,ナカオカサヤカ,女,749987021,1972/06/10,48,和歌山県,O,0
115,金丸秀之,カナマルヒデユキ,男,265214979,1998/12/10,22,香川県,B,0
116,岸璃奈,キシリナ,女,281313119,1965/09/25,55,岐阜県,A,0
117,大下豊,オオシタユタカ,男,858549629,1977/07/11,43,青森県,O,0
118,平賀寧々,ヒラガネネ,女,837700613,2009/08/25,11,埼玉県,A,0
119,岡島裕,オカジマユウ,男,779509062,1972/07/12,48,宮城県,A,0
120,塩沢貞男,シオザワサダオ,男,885823029,1972/07/24,48,山口県,A,0
121,中野羽奈,ナカノハナ,女,748081990,2006/08/27,14,三重県,B,0
122,高津喜咲,タカツキサキ,女,875236856,1998/08/29,22,茨城県,B,0
123,大関咲之介,オオゼキショウノスケ,男,270162031,2004/05/02,16,大分県,O,0
124,保田明莉,ヤスダアカリ,女,230779756,1982/09/16,38,宮崎県,A,0
125,郡司恭子,グンジキョウコ,女,740498291,1992/02/04,29,秋田県,O,0
126,木内和茂,キウチカズシゲ,男,827175676,1990/11/07,30,徳島県,B,0
127,滝本世織,タキモトセオリ,女,966977143,2008/12/25,12,千葉県,O,0
128,松原幸作,マツバラコウサク,男,178217348,1990/02/03,31,愛知県,B,0
129,西尾麻美,ニシオアサミ,女,597618925,1998/08/19,22,愛媛県,B,0
130,吉澤奈月,ヨシザワナツキ,女,959152876,1991/01/27,30,大阪府,A,0
131,辻本明紀,ツジモトアキノリ,男,454284545,1996/07/25,24,富山県,A,0
132,坂口廣祐,サカグチコウスケ,男,82289926,1994/04/19,26,東京都,O,0
133,北沢葵衣,キタザワアオイ,女,293283640,1965/10/13,55,栃木県,B,0
134,片野芳男,カタノヨシオ,男,553280613,1986/07/27,34,香川県,AB,0
135,黒岩湊弥,クロイワソウヤ,男,466260127,2006/01/19,15,大阪府,AB,0
136,岩谷富美子,イワタニトミコ,女,855811970,1965/11/25,55,新潟県,O,0
137,篠原聡之介,シノハラソウノスケ,男,263071131,2001/10/25,19,群馬県,A,0
138,坪井篤弥,ツボイアツヤ,男,152908447,1996/08/28,24,愛知県,B,0
139,神崎朝子,カンザキトモコ,女,599354178,1970/11/10,50,福島県,A,0
140,熊沢立悠,クマザワリュウ,男,619952798,2002/12/19,18,福岡県,A,0
141,吾妻翔太,アズマショウタ,男,895960793,1967/03/17,54,群馬県,B,
142,細井秀一,ホソイシュウイチ,男,837167468,2009/11/16,11,神奈川県,A,0
143,雨宮尚子,アメミヤナオコ,女,836337630,1988/09/05,32,栃木県,A,0
144,東山優里,ヒガシヤマユリ,女,664127141,1979/08/20,41,宮崎県,B,0
145,小久保愛里,コクボアイリ,女,299672939,1977/07/21,43,山口県,A,0
146,江頭敏,エガシラサトシ,男,278645832,1992/12/06,28,福岡県,A,0
147,高嶋紗那,タカシマサナ,女,233794253,1988/07/04,32,熊本県,B,0
148,林淳凛,ハヤシジュンリ,男,973055126,2010/11/12,10,埼玉県,B,0
149,渡部莉沙,ワタナベリサ,女,261029737,1967/12/10,53,愛媛県,B,0
150,森口正,モリグチタダシ,男,778847329,1977/11/15,43,長野県,O,0
151,三田柚樹,ミタユズキ,男,997980334,2010/05/18,10,福島県,A,
152,依田克己,イダカツミ,男,874661220,1995/04/11,25,熊本県,B,0
153,広田春男,ヒロタハルオ,男,845953611,1967/09/30,53,群馬県,O,0
154,西翼,ニシツバサ,女,265898767,2010/03/07,11,石川県,A,
155,町田良昭,マチダヨシアキ,男,9565836,1970/01/18,51,愛知県,B,1
156,花岡天桜,ハナオカティオ,男,680205442,2001/07/21,19,愛媛県,B,1
157,織田朔空,オダサク,男,179481603,2010/09/02,10,北海道,AB,1
158,戸田由貴真,トダユキマ,男,761444690,1998/06/05,22,愛知県,A,1
159,妹尾千代乃,セノオチヨノ,女,799210111,1969/01/07,52,神奈川県,A,1
160,梅村忠三,ウメムラチュウゾウ,男,594620715,1980/11/27,40,埼玉県,B,1
161,新川豊和,シンカワトヨカズ,男,972779583,1967/07/11,53,富山県,A,1
162,福山俊夫,フクヤマトシオ,男,880298312,2008/09/11,12,埼玉県,B,1
163,平塚基良,ヒラツカモトヨシ,男,183305573,1991/06/12,29,東京都,A,1
164,篠崎陽奈,シノザキヒナ,女,193648098,1964/01/01,57,香川県,A,1
165,吉岡愛花,ヨシオカアイカ,女,663848874,2008/06/04,12,京都府,A,1
166,柳雪子,ヤナギユキコ,女,985744981,1980/12/31,40,石川県,B,1
167,寺本一雄,テラモトカズオ,男,836308907,1964/07/01,56,新潟県,A,1
168,柳田康夫,ヤナギダヤスオ,男,736563039,2000/06/28,20,岐阜県,B,
169,柳瀬志織,ヤナセシオリ,女,237132747,1984/01/05,37,兵庫県,AB,1
170,細井弓子,ホソイユミコ,女,965484766,1963/09/02,57,福岡県,O,1
171,米沢弥子,ヨネザワミコ,女,476214831,2008/10/03,12,長野県,O,
172,小森紀子,コモリノリコ,女,89187646,1986/01/04,35,福岡県,A,1
173,岡田明日奈,オカダアスナ,女,977269698,2005/12/21,15,長崎県,O,1
174,古市明飛,フルイチアキヒ,男,189950221,2008/11/18,12,茨城県,O,1
175,青野平吉,アオノヘイキチ,男,789631266,2009/08/26,11,茨城県,B,1
176,野間綾花,ノマアヤカ,女,778179353,1974/07/15,46,青森県,O,
177,栗林利佳,クリバヤシリカ,女,999707422,2006/07/18,14,埼玉県,B,1
178,村井藍,ムライアイ,女,987099210,2007/10/13,13,佐賀県,O,1
179,岡本和歌子,オカモトワカコ,女,465677559,1988/06/05,32,島根県,A,1
180,沢航陽,サワコウヨウ,男,863606715,2007/04/08,13,埼玉県,B,1
181,磯崎勇,イソザキイサミ,男,769860253,1990/06/04,30,山梨県,A,1
182,野上律子,ノガミリツコ,女,957695082,1988/11/21,32,大阪府,AB,
183,辻本安男,ツジモトヤスオ,男,953104701,1978/07/28,42,岐阜県,O,1
184,宮野凛花,ミヤノリンカ,女,53135589,1965/04/03,55,奈良県,O,
185,河内宙,カワウチソラ,男,763361885,2000/06/15,20,埼玉県,AB,1
186,梅木若菜,ウメキワカナ,女,846688628,1997/10/10,23,山口県,A,1
187,赤羽芳子,アカバネヨシコ,女,181091474,1982/02/06,39,奈良県,B,1
188,波多野亜美,ハタノアミ,女,940006157,1989/09/21,31,福井県,O,1
189,宇野美春,ウノミハル,女,596670596,1981/02/18,40,栃木県,B,1
190,村田栄二,ムラタエイジ,男,885164347,1965/08/04,55,山口県,A,
191,有賀晴雄,アリガハルオ,男,225527162,1985/12/17,35,山形県,A,1
192,堀越瑠愛,ホリコシルア,女,551538111,2009/02/23,12,兵庫県,B,1
193,新川青波,シンカワアオバ,男,738893736,2009/07/09,11,京都府,O,1
194,鳥居洋文,トリイヒロフミ,男,842083252,1961/06/05,59,香川県,B,1
195,浜本遥,ハマモトハルカ,女,972357101,1988/03/17,33,沖縄県,A,
196,本田敏郎,ホンダトシロウ,男,88037156,2000/05/05,20,大分県,B,1
197,宮野大輝,ミヤノダイキ,男,779711401,1989/03/17,32,北海道,A,1
198,浜奈緒子,ハマナオコ,女,470264037,1998/12/11,22,富山県,O,1
199,井川睦夫,イカワムツオ,男,87823379,1972/11/09,48,宮城県,B,1
200,大村夏蓮,オオムラカレン,女,762683661,1998/04/22,22,東京都,A,1
201,木村凪,キムラナギ,女,748924539,1996/03/15,25,石川県,A,1
202,織田貞男,オダサダオ,男,22350392,1965/11/17,55,佐賀県,B,
203,谷公一,タニコウイチ,男,744855780,1963/02/02,58,茨城県,O,
204,倉田渚,クラタナギサ,女,490617160,1988/02/18,33,大阪府,A,0
205,平賀道世,ヒラガミチヨ,女,138767743,2001/12/18,19,福井県,A,0
206,峰智之,ミネトモユキ,男,235775755,1990/06/06,30,千葉県,A,0
207,中山良和,ナカヤマヨシカズ,男,987536641,1982/05/22,38,鳥取県,B,0
208,金山泰知,カナヤマタイチ,男,953851568,2004/08/27,16,岩手県,A,0
209,碓井幸太郎,ウスイコウタロウ,男,282151098,2001/06/20,19,石川県,O,0
210,水田文平,ミズタブンペイ,男,186282584,1983/02/01,38,島根県,O,0
211,石塚宙翔,イシヅカソラト,男,880233669,1982/05/25,38,熊本県,O,
212,竹田郁子,タケダイクコ,女,934123308,1999/10/05,21,北海道,A,0
213,西島博嗣,ニシジマヒロツグ,男,760567202,1976/06/01,44,千葉県,B,0
214,三田照夫,ミタテルオ,男,984115891,1963/12/29,57,山梨県,A,0
215,池内陽葵,イケウチヒマリ,女,744811726,1998/07/07,22,香川県,AB,0
216,大浦詩穂,オオウラシホ,女,942750407,2002/08/10,18,福井県,B,0
217,海野和雄,ウミノカズオ,男,597169741,1975/03/03,46,長野県,A,0
218,野中佳奈子,ノナカカナコ,女,242860250,1969/07/15,51,高知県,O,
219,荒川澪,アラカワミオ,女,884169382,2004/09/07,16,富山県,A,0
220,草野果里奈,クサノカリナ,女,276214024,2006/07/17,14,熊本県,O,
221,坂下直人,サカシタナオト,男,856696252,1998/08/24,22,奈良県,A,0
222,坂上政行,サカガミマサユキ,男,977744357,1997/10/12,23,奈良県,A,0
223,寺田新太郎,テラダシンタロウ,男,735359980,1994/02/25,27,富山県,O,0
224,島佳代,シマカヨ,女,189977414,1969/06/28,51,島根県,B,
225,仲田優吏,ナカダユウリ,男,172515685,2004/11/21,16,大阪府,B,
226,岩永富士夫,イワナガフジオ,男,983407413,1998/10/28,22,秋田県,O,
227,石田信一,イシダシンイチ,男,531950106,2004/12/10,16,愛知県,O,
228,森田信太郎,モリタシンタロウ,男,25561092,1999/10/06,21,兵庫県,B,
229,富岡結花,トミオカユイカ,女,831879989,1997/01/12,24,埼玉県,B,
230,大原照雄,オオハラテルオ,男,478566390,1974/06/16,46,熊本県,A,
231,中尾紗彩,ナカオサアヤ,女,59633519,1993/09/01,27,秋田県,O,
232,萩原千里,ハギワラチサト,女,552034752,1999/05/31,21,岐阜県,B,
233,石崎凛久,イシザキリク,男,268122186,2002/01/31,19,大分県,AB,
234,黒田哲夫,クロダテツオ,男,264749540,1994/10/04,26,北海道,A,
235,西脇南海,ニシワキミナミ,女,991815379,1993/01/26,28,栃木県,A,
236,小寺恵三,オデラケイゾウ,男,572563741,1977/03/16,44,宮崎県,A,
237,梅原帆花,ウメハラホノカ,女,857341963,1970/08/17,50,石川県,B,
238,川名栄吉,カワナエイキチ,男,233582676,1966/01/15,55,長崎県,A,
239,堀田優那,ホッタユウナ,女,897510815,1988/03/14,33,愛媛県,AB,
240,窪田佳代,クボタカヨ,女,929638817,1978/05/30,42,茨城県,A,
241,日下芳人,クサカヨシヒト,男,487713864,1982/04/25,38,熊本県,B,
242,江川長平,エガワチョウヘイ,男,470355610,1990/10/14,30,大分県,B,
243,井出雄三,イデユウゾウ,男,767376048,1965/10/05,55,高知県,O,
244,神野晴菜,カミノハルナ,女,745931568,2007/08/21,13,滋賀県,O,
245,大石亜由美,オオイシアユミ,女,153535915,1992/08/03,28,岡山県,B,
246,津田光子,ツダミツコ,女,952363747,1988/05/06,32,長崎県,A,
247,松村心咲,マツムラミサキ,女,531419453,1995/05/28,25,山形県,A,
248,大原金作,オオハラキンサク,男,582239483,1978/10/17,42,愛媛県,A,
249,島崎音羽,シマザキオトハ,女,182654471,2004/09/01,16,岡山県,O,
250,重田一也,シゲタカズヤ,男,954589209,1981/10/07,39,茨城県,B,
251,三原爽子,ミハラソウコ,女,580766829,1997/05/05,23,沖縄県,AB,
252,及川直道,オイカワタダミチ,男,776976050,1998/12/31,22,三重県,A,
253,永山恵一,ナガヤマケイイチ,男,823062632,1984/07/13,36,長野県,B,
254,平良栄太郎,ヒラヨシエイタロウ,男,865986076,1979/10/16,41,茨城県,O,
255,藤川勝治,フジカワカツジ,男,254435294,1982/04/17,38,東京都,AB,
256,山川賢,ヤマカワケン,男,959769710,1963/01/25,58,鳥取県,O,
257,船橋凛,フナバシリン,女,742075728,1992/11/14,28,秋田県,A,
258,小杉華絵,コスギカエ,女,487113909,1987/03/29,33,茨城県,A,
259,藤原良二,フジワラリョウジ,男,184147838,1979/07/27,41,山口県,A,
260,竹中佳織,タケナカカオリ,女,893724799,2006/04/26,14,福島県,B,
261,川本智乃,カワモトチノ,女,868235907,2010/01/08,11,青森県,A,
262,今陽保,コンハルヤス,男,597507270,1971/03/22,49,栃木県,A,
263,東玲奈,アズマレイナ,女,18807060,1974/04/02,46,栃木県,AB,
264,田所弓弦,タドコロユヅル,男,96795397,1980/10/31,40,岡山県,A,
265,玉田楓人,タマダフウト,男,734571034,2006/07/28,14,和歌山県,A,
266,本橋夏南人,モトハシカナト,男,994334056,2007/01/20,14,鳥取県,A,
267,飯塚亘,イイヅカワタル,男,887107737,1962/03/16,59,埼玉県,O,
268,齋藤光彦,サイトウミツヒコ,男,343026708,1996/11/01,24,福岡県,B,
269,野原翼,ノハラツバサ,女,226791773,2005/03/18,16,山口県,O,
270,横尾道男,ヨコオミチオ,男,175686497,1961/06/14,59,茨城県,A,
271,梅村節男,ウメムラセツオ,男,124445073,2000/02/29,21,兵庫県,A,
272,宇田川章二,ウダガワショウジ,男,544182807,1992/11/11,28,青森県,B,
273,古川法子,フルカワノリコ,女,958484407,1993/11/27,27,京都府,A,
274,戸田安則,トダヤスノリ,男,242674505,1982/04/09,38,岐阜県,B,
275,北島廉人,キタジマレント,男,594090605,1998/07/20,22,石川県,B,
276,細谷若奈,ホソヤワカナ,女,962475920,1984/06/07,36,岩手県,A,
277,川名希理都,カワナキリト,男,112550883,2006/07/09,14,青森県,O,
278,小嶋孝明,オジマタカアキ,男,233738739,1986/04/25,34,広島県,A,
279,麻生双葉,アソウフタバ,女,565801453,2003/03/31,17,大分県,A,
280,井本桃百,イモトモモ,女,172467023,1990/09/29,30,滋賀県,A,
281,畠山栄三,ハタケヤマエイゾウ,男,885544916,1974/01/25,47,石川県,B,
282,竹下香凛,タケシタカリン,女,172348132,2007/11/12,13,山口県,O,
283,瀬尾璃音,セオリオン,女,972380757,1981/09/18,39,秋田県,O,
284,菊地正義,キクチマサヨシ,男,763483877,2007/10/20,13,新潟県,A,
285,真田志歩,サナダシホ,女,920765680,1988/07/13,32,福岡県,O,
286,伏見宗男,フシミムネオ,男,92122468,1971/02/13,50,埼玉県,B,
287,森脇真優,モリワキマユ,女,762029221,1971/03/02,50,岡山県,A,
288,森田金弥,モリタキンヤ,男,476211764,1980/01/28,41,神奈川県,A,
289,土谷湊馬,ツチヤソウマ,男,855666971,2001/12/08,19,熊本県,O,
290,丸山千早,マルヤマチハヤ,女,145959622,1997/08/02,23,滋賀県,O,
291,小野耶糸子,オノヤイコ,女,989838704,2005/03/19,16,徳島県,O,
292,高梨虎珀,タカナシコハク,男,184859110,2006/06/13,14,千葉県,B,
293,川西宏寿,カワニシヒロトシ,男,769360306,1969/01/10,52,山口県,A,
294,山内吉夫,ヤマウチヨシオ,男,259634970,1994/01/09,27,秋田県,O,
295,八田花純,ヤツタカスミ,女,777036963,2003/12/11,17,愛知県,A,
296,児島忠志,コジマタダシ,男,11266806,1980/01/24,41,大阪府,O,
297,玉木麻由,タマギマユ,女,231376060,1985/09/27,35,山梨県,AB,
298,重松桃歌,シゲマツモモカ,女,990253427,1978/08/24,42,佐賀県,B,
299,菊田花子,キクタハナコ,女,170603108,1994/03/11,27,神奈川県,A,
300,高津圭子,タカツケイコ,女,199980587,1970/11/02,50,群馬県,O,
301,猪股涼香,イノマタスズカ,女,76513781,1990/05/13,30,秋田県,O,
302,岡村琴乃香,オカムラコノカ,女,29770545,2004/08/27,16,宮城県,A,
303,飛田久男,トビタヒサオ,男,956295401,1977/04/14,43,山口県,O,
304,三橋絢子,ミハシアヤコ,女,383487661,1984/06/30,36,秋田県,A,
305,大和仁,ダイワヒトシ,男,580456548,1961/12/04,59,栃木県,O,
306,南部夏子,ナンブナツコ,女,852703924,1961/12/22,59,福島県,A,
307,三島結愛,ミシマユア,女,970528945,1990/12/03,30,熊本県,O,
308,稲田治虫,イナダオサム,男,748181692,1961/12/29,59,群馬県,B,
309,横川玲二,ヨコカワレイジ,男,244885645,1968/03/27,52,鹿児島県,O,
310,谷口寧々子,タニグチネネコ,女,254591435,2005/04/12,15,岐阜県,B,
311,相田楓,アイダカエデ,女,949748694,1979/07/26,41,長野県,A,
312,高松智恵,タカマツチエ,女,229782104,1966/11/07,54,山梨県,B,
313,玉井照美,タマイテルミ,女,986422661,2001/08/20,19,静岡県,AB,
314,西川祥子,ニシカワショウコ,女,85367934,1972/06/10,48,徳島県,A,
315,平井佳那子,ヒライカナコ,女,956390729,1996/01/31,25,和歌山県,O,
316,酒井一路,サカイカズミチ,男,479287633,2003/09/08,17,岡山県,O,
317,前川歌舞斗,マエカワカブト,男,276119299,2008/08/31,12,山形県,B,
318,荒川咲良,アラカワサクラ,女,958164192,2009/03/24,11,熊本県,AB,
319,安川幹男,ヤスカワミキオ,男,778027684,1985/10/10,35,山梨県,B,
320,城戸翔平,キドショウヘイ,男,773827408,1973/04/24,47,神奈川県,A,
321,上村秋友,ウエムラアキトモ,男,257322433,1989/03/03,32,宮崎県,A,
322,足立好雄,アダチヨシオ,男,957330185,2007/02/13,14,千葉県,B,
323,荻原奈美,オギワラナミ,女,25402301,1965/05/15,55,北海道,B,
324,加瀬千加子,カセチカコ,女,598197253,1975/06/19,45,青森県,B,
325,小野里緒,オノリオ,女,98446829,1989/09/18,31,広島県,B,
326,田尻美久,タジリミク,女,255398631,1982/09/15,38,茨城県,O,
327,高木克美,タカギカツミ,女,979644405,1976/03/13,45,山口県,AB,
328,谷村りりか,タニムラリリカ,女,777987668,2008/08/08,12,栃木県,A,
329,横川芽依,ヨコカワメイ,女,889553882,1995/04/17,25,和歌山県,A,
330,藤巻奈々美,フジマキナナミ,女,553155613,1982/11/04,38,北海道,O,
331,高坂紫,コウサカユカリ,女,978807223,2001/04/27,19,静岡県,O,
332,山口信長,ヤマグチノブナガ,男,838492304,1965/01/23,56,静岡県,A,
333,山崎好克,ヤマザキヨシカツ,男,284431468,1982/01/27,39,香川県,AB,
334,平亜由美,タイラアユミ,女,839360692,2007/05/11,13,長崎県,O,
335,須賀重義,スガシゲヨシ,男,889546349,1969/03/10,52,岡山県,AB,
336,大宮璃奈,オオミヤリナ,女,279372204,2006/08/29,14,香川県,O,
